Time Base:500μs,
Sampling Rate:5.00MSa/s,
Amplitude:2.00V,
Amplitude resolution:80.00mV,
Data Uint:mv,
Data points:64000,
  0.00E+00,5.5625e-05
 -8.00E+01,5.575e-05
  0.00E+00,5.5874999999999996e-05
  0.00E+00,5.6e-05
  0.00E+00,5.6124999999999995e-05
 -8.00E+01,5.625e-05
  0.00E+00,5.6374999999999995e-05
  0.00E+00,5.65e-05
  0.00E+00,5.6625e-05
  0.00E+00,5.675e-05
  0.00E+00,5.6875e-05
  0.00E+00,5.6999999999999996e-05
  0.00E+00,5.7125e-05
  0.00E+00,5.7249999999999996e-05
  0.00E+00,5.7375e-05
  0.00E+00,5.7499999999999995e-05
  0.00E+00,5.7625e-05
  0.00E+00,5.7749999999999994e-05
  0.00E+00,5.7875e-05
  0.00E+00,5.8e-05
  8.00E+01,5.8124999999999997e-05
  0.00E+00,5.825e-05
 -8.00E+01,5.8374999999999996e-05
  0.00E+00,5.85e-05
  0.00E+00,5.8624999999999995e-05
  0.00E+00,5.875e-05
 -8.00E+01,5.8874999999999995e-05
 -8.00E+01,5.9e-05
  0.00E+00,5.9125e-05
  0.00E+00,5.925e-05
  0.00E+00,5.9375e-05
  0.00E+00,5.9499999999999996e-05
  0.00E+00,5.9625e-05
  0.00E+00,5.9749999999999995e-05
  0.00E+00,5.9875e-05
  0.00E+00,5.9999999999999995e-05
  0.00E+00,6.0125e-05
  0.00E+00,6.0249999999999994e-05
  8.00E+01,6.0375e-05
  0.00E+00,6.05e-05
  0.00E+00,6.0624999999999996e-05
  0.00E+00,6.075e-05
  8.00E+01,6.0874999999999996e-05
  0.00E+00,6.1e-05
  0.00E+00,6.1125e-05
  0.00E+00,6.125e-05
  0.00E+00,6.1375e-05
  0.00E+00,6.149999999999999e-05
 -8.00E+01,6.1625e-05
  0.00E+00,6.175e-05
 -8.00E+01,6.1875e-05
 -8.00E+01,6.2e-05
 -8.00E+01,6.212499999999999e-05
 -8.00E+01,6.225e-05
 -1.60E+02,6.2375e-05
  0.00E+00,6.25e-05
 -8.00E+01,6.262499999999999e-05
 -8.00E+01,6.275e-05
 -8.00E+01,6.2875e-05
 -8.00E+01,6.3e-05
 -8.00E+01,6.3125e-05
 -8.00E+01,6.324999999999999e-05
  0.00E+00,6.3375e-05
 -8.00E+01,6.35e-05
 -8.00E+01,6.3625e-05
  0.00E+00,6.374999999999999e-05
  8.00E+01,6.3875e-05
  2.40E+02,6.4e-05
  8.00E+01,6.4125e-05
  8.00E+01,6.425e-05
  1.60E+02,6.437499999999999e-05
  8.00E+01,6.45e-05
  1.60E+02,6.4625e-05
  8.00E+01,6.475e-05
  1.60E+02,6.487499999999999e-05
  8.00E+01,6.5e-05
  8.00E+01,6.5125e-05
  8.00E+01,6.525e-05
  1.60E+02,6.5375e-05
  8.00E+01,6.549999999999999e-05
  8.00E+01,6.5625e-05
  8.00E+01,6.575e-05
  8.00E+01,6.5875e-05
  0.00E+00,6.599999999999999e-05
  0.00E+00,6.6125e-05
  0.00E+00,6.625e-05
  8.00E+01,6.6375e-05
  0.00E+00,6.65e-05
  0.00E+00,6.662499999999999e-05
  0.00E+00,6.675e-05
  0.00E+00,6.6875e-05
  0.00E+00,6.7e-05
 -8.00E+01,6.712499999999999e-05
 -8.00E+01,6.725e-05
  0.00E+00,6.7375e-05
  0.00E+00,6.75e-05
 -8.00E+01,6.762499999999999e-05
  0.00E+00,6.775e-05
  8.00E+01,6.7875e-05
  0.00E+00,6.8e-05
  8.00E+01,6.8125e-05
  0.00E+00,6.824999999999999e-05
  0.00E+00,6.8375e-05
  0.00E+00,6.85e-05
  0.00E+00,6.8625e-05
  0.00E+00,6.874999999999999e-05
  0.00E+00,6.8875e-05
  0.00E+00,6.9e-05
  8.00E+01,6.9125e-05
  0.00E+00,6.925e-05
  0.00E+00,6.937499999999999e-05
  0.00E+00,6.95e-05
  0.00E+00,6.9625e-05
  0.00E+00,6.975e-05
  0.00E+00,6.987499999999999e-05
  0.00E+00,7e-05
  8.00E+01,7.0125e-05
  8.00E+01,7.025e-05
  8.00E+01,7.0375e-05
  0.00E+00,7.049999999999999e-05
  0.00E+00,7.0625e-05
 -8.00E+01,7.075e-05
 -8.00E+01,7.0875e-05
 -8.00E+01,7.099999999999999e-05
 -8.00E+01,7.1125e-05
 -8.00E+01,7.125e-05
  0.00E+00,7.1375e-05
  8.00E+01,7.15e-05
  1.60E+02,7.162499999999999e-05
  1.60E+02,7.175e-05
  2.40E+02,7.1875e-05
  8.00E+01,7.2e-05
  8.00E+01,7.212499999999999e-05
  1.60E+02,7.225e-05
  1.60E+02,7.2375e-05
  8.00E+01,7.25e-05
  1.60E+02,7.2625e-05
  8.00E+01,7.274999999999999e-05
  8.00E+01,7.2875e-05
  0.00E+00,7.3e-05
  8.00E+01,7.3125e-05
  0.00E+00,7.324999999999999e-05
  8.00E+01,7.3375e-05
  0.00E+00,7.35e-05
 -8.00E+01,7.3625e-05
 -8.00E+01,7.374999999999999e-05
 -8.00E+01,7.387499999999999e-05
 -8.00E+01,7.4e-05
 -8.00E+01,7.4125e-05
 -1.60E+02,7.425e-05
 -1.60E+02,7.437499999999999e-05
 -1.60E+02,7.45e-05
 -1.60E+02,7.4625e-05
 -1.60E+02,7.475e-05
 -8.00E+01,7.487499999999999e-05
 -8.00E+01,7.5e-05
 -8.00E+01,7.5125e-05
 -8.00E+01,7.525e-05
 -8.00E+01,7.5375e-05
 -1.60E+02,7.549999999999999e-05
 -1.60E+02,7.5625e-05
 -8.00E+01,7.575e-05
 -8.00E+01,7.5875e-05
  0.00E+00,7.599999999999999e-05
  0.00E+00,7.6125e-05
 -8.00E+01,7.625e-05
  0.00E+00,7.6375e-05
 -8.00E+01,7.65e-05
 -8.00E+01,7.662499999999999e-05
  0.00E+00,7.675e-05
 -8.00E+01,7.6875e-05
 -8.00E+01,7.7e-05
 -8.00E+01,7.712499999999999e-05
 -8.00E+01,7.725e-05
  0.00E+00,7.7375e-05
  0.00E+00,7.75e-05
  0.00E+00,7.7625e-05
 -8.00E+01,7.774999999999999e-05
 -8.00E+01,7.7875e-05
